family,n_nodes,level,measure,value,extra
Barabasi-Albert,80,80,spectral_entropy,0.7735877179907588,519.0
Barabasi-Albert,80,60,spectral_entropy,0.7656065959952886,325.0
Barabasi-Albert,80,40,spectral_entropy,0.7416737830913749,193.0
Barabasi-Albert,80,20,spectral_entropy,0.7912957467853611,80.0
Barabasi-Albert,80,100,adamic_adar_entropy,1.4825192974100962,0.543241965973535
Barabasi-Albert,80,100,seal_entropy,0.85498931192259,0.7117202268431001
Erdos-Renyi,80,80,spectral_entropy,0.9601280170689426,720.0
Erdos-Renyi,80,60,spectral_entropy,0.970222835732597,492.0
Erdos-Renyi,80,40,spectral_entropy,0.9250663129973474,279.0
Erdos-Renyi,80,20,spectral_entropy,0.9014084507042254,64.0
Erdos-Renyi,80,100,adamic_adar_entropy,0.9243731243211374,0.49524671797193304
Erdos-Renyi,80,100,seal_entropy,1.0139628283810525,0.5568130375735627
Watts-Strogatz,80,80,spectral_entropy,0.9023915461624026,649.0
Watts-Strogatz,80,60,spectral_entropy,0.9876543209876544,456.0
Watts-Strogatz,80,40,spectral_entropy,0.9825503355704698,244.0
Watts-Strogatz,80,20,spectral_entropy,0.9772951628825272,99.0
Watts-Strogatz,80,100,adamic_adar_entropy,1.7784610363264155,0.898654513888889
Watts-Strogatz,80,100,seal_entropy,0.49524507755890745,0.8997395833333334
Random-Regular,80,80,spectral_entropy,0.9948792977322605,544.0
Random-Regular,80,60,spectral_entropy,1.0204081632653061,415.0
Random-Regular,80,40,spectral_entropy,0.9533742331288343,259.0
Random-Regular,80,20,spectral_entropy,0.9355345911949685,85.0
Random-Regular,80,100,adamic_adar_entropy,1.0,0.51416015625
Random-Regular,80,100,seal_entropy,0.8861103963482241,0.82421875
Barabasi-Albert,100,80,spectral_entropy,0.8861024033437827,848.0
Barabasi-Albert,100,60,spectral_entropy,0.8667152221412965,595.0
Barabasi-Albert,100,40,spectral_entropy,0.9241598546775659,407.0
Barabasi-Albert,100,20,spectral_entropy,0.878048780487805,120.0
Barabasi-Albert,100,100,adamic_adar_entropy,2.450464979468451,0.5497919143876338
Barabasi-Albert,100,100,seal_entropy,0.8911249268944207,0.6596313912009514
Erdos-Renyi,100,80,spectral_entropy,0.9418096199125462,1120.0
Erdos-Renyi,100,60,spectral_entropy,0.9270949374922639,749.0
Erdos-Renyi,100,40,spectral_entropy,0.9364280814086439,455.0
Erdos-Renyi,100,20,spectral_entropy,0.7912584777694047,105.0
Erdos-Renyi,100,100,adamic_adar_entropy,1.0783751198269214,0.45434623813002195
Erdos-Renyi,100,100,seal_entropy,1.0011294807739946,0.5571585098612126
