domain,name,n_nodes,n_edges,method,level,value,coarsen_seconds,n_nodes_reduced,n_edges_reduced
Biological,Fonseca_Ganade_plant-ant_web_Fonseca_Ganade_plant-ant_web,29,38,variation_neighborhood,100,0.902127659574468,0.0,29.0,38.0
Biological,Fonseca_Ganade_plant-ant_web_Fonseca_Ganade_plant-ant_web,29,38,variation_neighborhood,80,0.8939213349225268,0.014836708,24.0,29.0
Biological,Fonseca_Ganade_plant-ant_web_Fonseca_Ganade_plant-ant_web,29,38,variation_neighborhood,60,0.9712230215827338,0.0087709579999999,18.0,20.0
Biological,Fonseca_Ganade_plant-ant_web_Fonseca_Ganade_plant-ant_web,29,38,variation_neighborhood,40,0.9281437125748504,0.0072656669999999,12.0,14.0
Biological,Fonseca_Ganade_plant-ant_web_Fonseca_Ganade_plant-ant_web,29,38,variation_neighborhood,20,1.0377358490566038,0.0080445829999999,6.0,6.0
Biological,Fonseca_Ganade_plant-ant_web_Fonseca_Ganade_plant-ant_web,29,38,variation_edges,100,0.8796680497925311,0.0,29.0,38.0
Biological,Fonseca_Ganade_plant-ant_web_Fonseca_Ganade_plant-ant_web,29,38,variation_edges,80,0.8307045215562566,0.0090222080000001,24.0,32.0
Biological,Fonseca_Ganade_plant-ant_web_Fonseca_Ganade_plant-ant_web,29,38,variation_edges,60,0.8656716417910447,0.0075512910000001,19.0,25.0
Biological,Fonseca_Ganade_plant-ant_web_Fonseca_Ganade_plant-ant_web,29,38,variation_edges,40,0.9703504043126684,0.0066773340000001,13.0,14.0
Biological,Fonseca_Ganade_plant-ant_web_Fonseca_Ganade_plant-ant_web,29,38,variation_edges,20,1.2,0.0060044169999999,6.0,6.0
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,variation_neighborhood,100,0.5625935162094763,0.0,36.0,78.0
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,variation_neighborhood,80,0.6275033377837116,0.0192583750000001,30.0,49.0
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,variation_neighborhood,60,0.7291666666666666,0.0156569159999999,23.0,33.0
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,variation_neighborhood,40,0.9544468546637744,0.0107887499999999,16.0,18.0
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,variation_neighborhood,20,0.8955223880597014,0.0093796670000001,8.0,10.0
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,variation_edges,100,0.5683192261185006,0.0,36.0,78.0
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,variation_edges,80,0.8091853471842536,0.0153319579999999,29.0,65.0
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,variation_edges,60,0.848,0.0122004590000002,22.0,50.0
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,variation_edges,40,0.9889624724061812,0.0096375829999999,16.0,27.0
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,variation_edges,20,0.8708708708708709,0.0087237079999997,12.0,14.0
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,variation_neighborhood,100,0.7512953367875648,0.0,50.0,53.0
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,variation_neighborhood,80,0.8695652173913044,0.02340475,41.0,44.0
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,variation_neighborhood,60,0.8533333333333334,0.0185166250000001,32.0,34.0
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,variation_neighborhood,40,1.036036036036036,0.013377959,21.0,23.0
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,variation_neighborhood,20,0.8928571428571429,0.011310791,10.0,10.0
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,variation_edges,100,0.7659799260433174,0.0,50.0,53.0
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,variation_edges,80,0.8286908077994429,0.0154164999999997,40.0,43.0
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,variation_edges,60,0.7833163784333672,0.0124214170000001,30.0,31.0
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,variation_edges,40,0.743801652892562,0.0104342920000002,20.0,20.0
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,variation_edges,20,0.6970509383378016,0.0106491669999999,15.0,14.0
Biological,Parsnip_and_McGregor_host-parasite_webs_Parsnip_River,70,158,variation_neighborhood,100,0.7192362093352193,0.0,70.0,158.0
Biological,Parsnip_and_McGregor_host-parasite_webs_Parsnip_River,70,158,variation_neighborhood,80,0.7205950720595072,0.052072791,57.0,114.0
Biological,Parsnip_and_McGregor_host-parasite_webs_Parsnip_River,70,158,variation_neighborhood,60,0.7066869300911853,0.0254854169999996,42.0,63.0
Biological,Parsnip_and_McGregor_host-parasite_webs_Parsnip_River,70,158,variation_neighborhood,40,0.8554572271386431,0.0193601249999999,28.0,45.0
Biological,Parsnip_and_McGregor_host-parasite_webs_Parsnip_River,70,158,variation_neighborhood,20,0.8979591836734694,0.0164704579999996,14.0,21.0
Biological,Parsnip_and_McGregor_host-parasite_webs_Parsnip_River,70,158,variation_edges,100,0.724707391374058,0.0,70.0,158.0
Biological,Parsnip_and_McGregor_host-parasite_webs_Parsnip_River,70,158,variation_edges,80,0.7773851590106007,0.0389427910000002,56.0,135.0
Biological,Parsnip_and_McGregor_host-parasite_webs_Parsnip_River,70,158,variation_edges,60,0.8078880407124682,0.030009042,42.0,93.0
Biological,Parsnip_and_McGregor_host-parasite_webs_Parsnip_River,70,158,variation_edges,40,0.7881210736721873,0.0189005409999998,29.0,59.0
Biological,Parsnip_and_McGregor_host-parasite_webs_Parsnip_River,70,158,variation_edges,20,0.8977556109725685,0.0128942919999999,16.0,22.0
