domain,name,n_nodes,n_edges,H_20,H_40,H_60,H_80,H_100,seal_entropy,seal_auc,adamic_adar_entropy,adamic_adar_auc,newly_included
Biological,56e98770a6d70217090cdd7d,74,75,0.8674698795180723,1.0940695296523515,0.8819875776397516,0.79800853485064,0.7486818980667839,0.6026682727790719,0.5666666666666667,0.7243672219378039,0.5022222222222222,False
Biological,56e98770a6d70217090cdd7e,187,218,0.9532710280373832,0.9658256148195464,0.9409562702058872,0.858085808580858,0.8020412093202388,0.696975117320594,0.7336398053001622,0.7506821559194196,0.5470524607896159,False
Biological,56e98770a6d70217090cdd7f,84,86,0.949820788530466,1.0740740740740742,1.0333863275039743,0.8966789667896679,0.8254437869822485,0.6489283313239146,0.6920415224913494,0.7143809278234565,0.4705882352941176,False
Biological,56e98770a6d70217090cdd80,332,412,0.9509287496534516,0.9221647533745426,0.9251341055741272,0.8916873729387848,0.8656406553233742,0.6927432560157208,0.7794467578822128,0.7662681104408859,0.5377751338488995,False
Biological,56e98770a6d70217090cdd81,121,154,0.8418891170431211,0.9783549783549784,1.0129198966408268,0.9265577302926916,0.921985815602837,0.7459305672749473,0.5766666666666667,0.7051281800180511,0.6138888888888889,False
Biological,56e98770a6d70217090cdd82,146,175,0.916030534351145,0.9484944532488112,0.9576307825335062,0.9315499606608968,0.8592856234905301,0.6924504155939182,0.7155102040816326,0.7386091205776316,0.5693877551020409,False
Biological,56e98770a6d70217090cdd83,322,404,1.0286637060960842,0.9371223564954684,0.9183431952662722,0.8825925063998138,0.8776931345515727,0.7254781013881162,0.737265625,0.762090233245766,0.5643750000000001,False
Biological,56e98770a6d70217090cdd84,132,171,0.9384615384615383,0.9748999636231358,0.9842863378437364,0.941382605925454,0.919390545643964,0.72728528016658,0.6816608996539792,0.7004749493361316,0.6215397923875432,False
Biological,56e98770a6d70217090cdd85,182,224,1.0718954248366013,0.9587104072398188,0.9533042494748748,0.8748073959938366,0.8736695974086072,0.7401974388609311,0.6188016528925621,0.7734085744372282,0.5451962809917354,False
Biological,56e98770a6d70217090cdd86,223,276,1.087179487179487,0.9870232009437672,0.9523212045169384,0.9219284043892788,0.9091577245332942,0.7317484070027883,0.7289256198347107,0.7508508176005131,0.5287603305785123,False
Biological,56e98770a6d70217090cdd87,120,163,0.9802073515551368,0.9931506849315068,0.9933283914010378,0.9642797249706524,0.9658308073849546,0.6818339024736455,0.72900390625,0.7366667276337318,0.56494140625,False
Biological,56e98770a6d70217090cdd88,158,200,0.9424083769633508,1.0119363395225462,0.9996227838551488,0.9439890710382514,0.931372549019608,0.6924910155683068,0.7743749999999998,0.7589387878318353,0.5249999999999999,False
Biological,56e98770a6d70217090cddaf,254,286,0.9960915689558906,0.9870024370430543,0.9678407350689128,0.9256040326786026,0.8704838368899218,0.7297517879447254,0.6812865497076024,0.7925589531709426,0.543859649122807,False
Biological,56e98770a6d70217090cdddd,346,417,0.9331453886427707,0.9705018516153748,0.945515373586108,0.9259774206106446,0.8577696199131487,0.693813797373379,0.8054870082740601,0.769310959326474,0.5662650602409639,False
Biological,56e98770a6d70217090cde03,386,460,0.9874415168677664,1.0006075334143378,0.9951605207552314,0.9586437965694854,0.9090543583145708,0.7256680014554459,0.7422613421550095,0.797485270927982,0.5378662570888468,False
Biological,56e98770a6d70217090cde04,359,443,0.9204368174726988,0.95069173465768,0.9878734102336586,0.9540743751270068,0.9053446553446554,0.6882283982825853,0.7507747933884298,0.7525848199260499,0.5742510330578512,False
Biological,56e98770a6d70217090cde06,339,369,1.0066280033140016,1.0023980815347722,0.9774938012588212,0.8617868199911544,0.8007546378786291,0.6948492526619933,0.7255582660911991,0.7863886570729763,0.5205479452054794,False
Biological,56e98770a6d70217090cde08,318,381,0.950960901259112,0.94248291571754,0.9226617188158892,0.8946322067594434,0.8514881100752779,0.7048179255025079,0.7174515235457063,0.7668753593104884,0.5526315789473684,False
Biological,56e98770a6d70217090cde3e,116,134,0.984743411927878,0.9249471458773784,0.8626648476580263,0.806929564622749,0.7348132851488556,0.6693483002076939,0.6782544378698225,0.7236113022777599,0.5192307692307693,False
Biological,56e98770a6d70217090cde3f,176,199,0.9553695955369595,0.918918918918919,0.8943252456386606,0.8033654498575112,0.7641921397379913,0.7169834278478734,0.7212360289283366,0.786489325016772,0.5128205128205129,False
Biological,56e98770a6d70217090cde40,142,159,0.9585253456221198,0.9963099630996308,0.8743589743589744,0.8123249299719887,0.7329696461043503,0.6967252030132559,0.6347554630593132,0.7281977795819593,0.5478668054110302,False
Biological,56e98770a6d70217090cde41,411,488,0.8981769675411294,0.8495593359294938,0.8236791852323361,0.7869003690036901,0.7422153776809525,0.7019867830627928,0.7636305664789031,0.7786313709218067,0.5515463917525774,False
Biological,56e98770a6d70217090cde42,257,302,0.9853372434017597,0.8996675141795423,0.8401210146613917,0.8054187192118226,0.7647702407002188,0.6971287991374854,0.76625,0.7890292195588064,0.5333333333333333,False
Biological,56e98770a6d70217090cde45,305,477,0.804724409448819,0.8205988988854572,0.7622016009067082,0.7575454727163702,0.742667745789494,0.6316754511615652,0.9028808864265928,0.7523733775537399,0.6157894736842106,False
Biological,56e98770a6d70217090cde46,283,437,0.8213972522654194,0.7597560975609756,0.736598822038321,0.7505399568034558,0.7522218882830278,0.5668311435645788,0.9161051658079006,0.7149855432987662,0.6377328577090764,False
Biological,56e98770a6d70217090cde47,224,348,0.7988631394840402,0.7748841667998083,0.7848484848484848,0.7717291534279461,0.762820871315922,0.6454437791702812,0.900861163621088,0.7104714261112859,0.644927536231884,False
Biological,56e98770a6d70217090cde49,311,474,0.908625543895572,0.8757355486327448,0.8315334773218143,0.8239062969266193,0.8246788214478036,0.6467925970481485,0.8929379809868719,0.7210721114528353,0.6212086917157085,False
Biological,56e98770a6d70217090cde4a,281,429,0.8438818565400844,0.803763440860215,0.7694184627897519,0.7604840979453983,0.7731121934096793,0.6152416978780703,0.8764013840830449,0.7445673902379742,0.6176470588235294,False
Biological,56e98770a6d70217090cde4d,305,465,0.9050599895670318,0.8754359740906826,0.8402282453637661,0.8381532217148655,0.8211340409580554,0.6646923209487,0.8971557405480404,0.7739131810280094,0.5804139206844723,False
Biological,56e98770a6d70217090cde4e,199,311,0.8956310679611651,0.8629441624365481,0.8396062536189924,0.8398261297465759,0.836934417895272,0.6917402087635361,0.8844953173777316,0.744528143137271,0.605098855359001,False
Biological,56e98770a6d70217090cde4f,192,307,0.9885304659498207,0.8767236056801812,0.8733118971061093,0.8476330085366904,0.833712391968289,0.5712748094490306,0.9101048105348024,0.6714680835332884,0.6585595270088684,False
Biological,56e98770a6d70217090cde51,251,399,0.8480331262939959,0.8740068104426788,0.8415544308141031,0.8474053987427586,0.8192507259484935,0.6412504371262865,0.9080275596859476,0.7813811678195612,0.5949367088607596,False
Biological,56e9e0d7a6d70217090cdfa0,300,712,0.7623485554520038,0.6813402495443712,0.7268527619422056,0.7404924857122699,0.7589830424064344,0.625149822795969,0.8687264431660385,0.8361646050306369,0.6147341797262448,False
Biological,56e9e0d7a6d70217090cdfcb,774,1818,0.6982040044685056,0.6893417035436178,0.6782589101288166,0.68827695359064,0.7351786415390655,0.4871269085811137,0.8994414467742793,0.7987860240863289,0.6593356555790816,False
Biological,56e9e0d7a6d70217090cdfcd,360,887,0.6376146788990825,0.7198379422433694,0.7271284121889775,0.7550048667561097,0.770479761858739,0.6344725689720782,0.8649972868588208,0.8673664417520255,0.5677327715535128,False
Biological,56e9e0d7a6d70217090cdfce,354,856,0.6497909368290202,0.7422640968004208,0.7484357997823721,0.7746680179829006,0.7913625427121455,0.6789706253816542,0.8281864505317875,0.8455315682345848,0.5630279402209227,False
Biological,56e9e0d7a6d70217090cdfcf,546,1289,0.6349466776045939,0.6980398423351443,0.6854871921588008,0.7137720806628107,0.7309595922287065,0.5915561194604944,0.91015761025905,0.8419214520102846,0.606988750775939,False
Biological,56e9e0d7a6d70217090cdfd1,965,2353,0.668283775312747,0.673781478228436,0.6811090309351877,0.6764493519943404,0.6989493476920448,0.4810165109965216,0.8767632412856496,0.8072231824824964,0.6592394748755092,False
Biological,56e9e0d7a6d70217090cdfd4,725,1657,0.6845581782068455,0.6759157600558938,0.6690217312620347,0.697457874307254,0.7231114599112992,0.5387930145071943,0.8966785626272122,0.8175040969770428,0.6348928907184126,False
Biological,56e9e0d7a6d70217090cdfd5,759,1771,0.7331710592580157,0.7540366552925036,0.7128398288364466,0.7056077137782288,0.7572469580930347,0.5422081960440703,0.8836581122921254,0.8261219183032831,0.6378036324172491,False
Biological,56e9e0d7a6d70217090cdfd6,337,806,0.6450366937041329,0.7407983411093831,0.7348102654090809,0.7686910642119443,0.772169108919438,0.627295243819534,0.8701631881486054,0.8420957784142405,0.5995331970217197,False
Biological,56e9e0d7a6d70217090cdfd7,896,2186,0.6590818363273453,0.6880028805273581,0.6760189880464378,0.6977173198158456,0.7166962229692173,0.5083034420897472,0.8813105792039545,0.8074894605959083,0.6683362221093476,False
Biological,56e9e0d7a6d70217090cdfde,816,1977,0.7248218756017716,0.7612694058233056,0.7442470659149736,0.7600900481586671,0.7763379019307615,0.5034097904216623,0.8862682262457939,0.8249275302133497,0.6283640442236821,False
Biological,56e9e0d7a6d70217090cdfe0,783,1986,0.6225518793232769,0.7435322876349563,0.7026814972077353,0.7211882934357259,0.7752193310776417,0.5055168895278699,0.8827922263322525,0.8066901391834213,0.6404297977907353,False
Biological,56e9e0d7a6d70217090cdfe9,600,1421,0.6821042033727661,0.7525572903256009,0.7511669658886894,0.76657824933687,0.7739081759211495,0.5670026192423482,0.8858237452886332,0.8192156059681084,0.6323398135290617,False
Biological,56e9e0d7a6d70217090cdfeb,610,1481,0.716533259729506,0.7568442073864354,0.7385856632956573,0.7664449580068767,0.7738088979085394,0.5790007777885573,0.8664684532505479,0.8200625615237144,0.6194530679327975,False
Biological,56e9e0d7a6d70217090cdfec,610,1482,0.7435828154552824,0.7516547054497502,0.7290274684484038,0.7689718525167244,0.7677683533196841,0.5535037661630247,0.9011938458729,0.8153313967514135,0.6333203981008034,False
Biological,56e9e0d7a6d70217090cdfee,609,1476,0.7308822713913381,0.7572741194486983,0.736939951663878,0.7613412228796844,0.775852041409794,0.5501461013813314,0.88707842573973,0.8036001258958834,0.64310255673657,False
Biological,56e9e0d7a6d70217090cdfef,598,1425,0.6928335978513002,0.7578793522076329,0.7407539371481509,0.7609154632210117,0.7694157775056847,0.562187733631869,0.8913142505386273,0.8052708195095076,0.6535118497999385,False
