domain,name,n_nodes,n_edges,level,measure,value,auc
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,100,spectral_entropy,0.5755102040816327,
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,80,spectral_entropy,0.6387096774193548,
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,60,spectral_entropy,0.7150153217568948,
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,40,spectral_entropy,0.9401709401709404,
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,20,spectral_entropy,0.9473684210526316,
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,100,adamic_adar_entropy,-0.0,0.2666666666666666
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,100,seal_entropy,0.6095778274659723,0.9155555555555556
Biological,Arroyo_plant-pollinator_web_Elevation_1,182,363,100,spectral_entropy,0.8133157837007787,
Biological,Arroyo_plant-pollinator_web_Elevation_1,182,363,80,spectral_entropy,0.8335807600950118,
Biological,Arroyo_plant-pollinator_web_Elevation_1,182,363,60,spectral_entropy,0.8307722811539605,
Biological,Arroyo_plant-pollinator_web_Elevation_1,182,363,40,spectral_entropy,0.9085746734809768,
Biological,Arroyo_plant-pollinator_web_Elevation_1,182,363,20,spectral_entropy,0.8172261783655477,
Biological,Arroyo_plant-pollinator_web_Elevation_1,182,363,100,adamic_adar_entropy,-0.0,0.4722222222222222
Biological,Arroyo_plant-pollinator_web_Elevation_1,182,363,100,seal_entropy,0.7756219539028928,0.8817515432098766
Biological,Arroyo_plant-pollinator_web_Elevation_2,97,179,100,spectral_entropy,0.8695095402740428,
Biological,Arroyo_plant-pollinator_web_Elevation_2,97,179,80,spectral_entropy,0.8981233243967829,
Biological,Arroyo_plant-pollinator_web_Elevation_2,97,179,60,spectral_entropy,0.9170709170709171,
Biological,Arroyo_plant-pollinator_web_Elevation_2,97,179,40,spectral_entropy,0.9594912859161564,
Biological,Arroyo_plant-pollinator_web_Elevation_2,97,179,20,spectral_entropy,0.872210953346856,
Biological,Arroyo_plant-pollinator_web_Elevation_2,97,179,100,adamic_adar_entropy,-0.0,0.4285714285714286
Biological,Arroyo_plant-pollinator_web_Elevation_2,97,179,100,seal_entropy,0.7666867526063451,0.8620408163265306
Biological,Arroyo_plant-pollinator_web_Elevation_3,65,85,100,spectral_entropy,0.782635279730969,
Biological,Arroyo_plant-pollinator_web_Elevation_3,65,85,80,spectral_entropy,0.7922392886014551,
Biological,Arroyo_plant-pollinator_web_Elevation_3,65,85,60,spectral_entropy,0.9133765468473778,
Biological,Arroyo_plant-pollinator_web_Elevation_3,65,85,40,spectral_entropy,1.004985044865404,
Biological,Arroyo_plant-pollinator_web_Elevation_3,65,85,20,spectral_entropy,0.9787234042553192,
Biological,Arroyo_plant-pollinator_web_Elevation_3,65,85,100,adamic_adar_entropy,,0.4117647058823529
Biological,Arroyo_plant-pollinator_web_Elevation_3,65,85,100,seal_entropy,0.8111850416977618,0.7923875432525952
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,100,spectral_entropy,0.5179010658649905,
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,80,spectral_entropy,0.4593707778421154,
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,60,spectral_entropy,0.5335579893288401,
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,40,spectral_entropy,0.6688341848583371,
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,20,spectral_entropy,0.8368200836820084,
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,100,adamic_adar_entropy,-0.0,0.3484848484848485
