domain,name,n_nodes,n_edges,level,measure,value,auc
Economic,Midieval_Russia_trade_network_Medieval_Russian_Trade_Network,39,53,100,spectral_entropy,0.9676817899316346,
Economic,Midieval_Russia_trade_network_Medieval_Russian_Trade_Network,39,53,80,spectral_entropy,0.9592822636300896,
Economic,Midieval_Russia_trade_network_Medieval_Russian_Trade_Network,39,53,60,spectral_entropy,0.9421641791044776,
Economic,Midieval_Russia_trade_network_Medieval_Russian_Trade_Network,39,53,40,spectral_entropy,0.914179104477612,
Economic,Midieval_Russia_trade_network_Medieval_Russian_Trade_Network,39,53,20,spectral_entropy,0.8227848101265822,
Economic,Midieval_Russia_trade_network_Medieval_Russian_Trade_Network,39,53,100,adamic_adar_entropy,0.3157208971866915,0.6
Economic,Midieval_Russia_trade_network_Medieval_Russian_Trade_Network,39,53,100,seal_entropy,0.847693881548703,0.53
Economic,Norwegian_Board_of_Directors_net2mode_2002-05-01,179,184,100,spectral_entropy,0.5589415787126505,
Economic,Norwegian_Board_of_Directors_net2mode_2002-05-01,179,184,80,spectral_entropy,0.6365565322825099,
Economic,Norwegian_Board_of_Directors_net2mode_2002-05-01,179,184,60,spectral_entropy,0.7428201252429281,
Economic,Norwegian_Board_of_Directors_net2mode_2002-05-01,179,184,40,spectral_entropy,0.849785407725322,
Economic,Norwegian_Board_of_Directors_net2mode_2002-05-01,179,184,20,spectral_entropy,1.0112359550561798,
Economic,Norwegian_Board_of_Directors_net2mode_2002-05-01,179,184,100,adamic_adar_entropy,,0.4583333333333333
Economic,Norwegian_Board_of_Directors_net2mode_2002-05-01,179,184,100,seal_entropy,0.7155607890740241,0.8001543209876544
Economic,Norwegian_Board_of_Directors_net2mode_2002-06-01,166,171,100,spectral_entropy,0.5613333333333334,
Economic,Norwegian_Board_of_Directors_net2mode_2002-06-01,166,171,80,spectral_entropy,0.62099223759703,
Economic,Norwegian_Board_of_Directors_net2mode_2002-06-01,166,171,60,spectral_entropy,0.6994114984155726,
Economic,Norwegian_Board_of_Directors_net2mode_2002-06-01,166,171,40,spectral_entropy,0.8872810357958872,
Economic,Norwegian_Board_of_Directors_net2mode_2002-06-01,166,171,20,spectral_entropy,1.0839445802770986,
Economic,Norwegian_Board_of_Directors_net2mode_2002-06-01,166,171,100,adamic_adar_entropy,,0.4852941176470588
Economic,Norwegian_Board_of_Directors_net2mode_2002-06-01,166,171,100,seal_entropy,0.7770675646893256,0.8806228373702422
Economic,Norwegian_Board_of_Directors_net2mode_2002-07-01,158,163,100,spectral_entropy,0.5434329395413482,
Economic,Norwegian_Board_of_Directors_net2mode_2002-07-01,158,163,80,spectral_entropy,0.6446991404011462,
Economic,Norwegian_Board_of_Directors_net2mode_2002-07-01,158,163,60,spectral_entropy,0.7217863608931805,
Economic,Norwegian_Board_of_Directors_net2mode_2002-07-01,158,163,40,spectral_entropy,0.8428967154728928,
Economic,Norwegian_Board_of_Directors_net2mode_2002-07-01,158,163,20,spectral_entropy,1.0609857978279031,
Economic,Norwegian_Board_of_Directors_net2mode_2002-07-01,158,163,100,adamic_adar_entropy,,0.5
Economic,Norwegian_Board_of_Directors_net2mode_2002-07-01,158,163,100,seal_entropy,0.7570429716869364,0.822265625
Economic,Norwegian_Board_of_Directors_net2mode_2002-08-01,164,167,100,spectral_entropy,0.532001080205239,
Economic,Norwegian_Board_of_Directors_net2mode_2002-08-01,164,167,80,spectral_entropy,0.6127586942607212,
Economic,Norwegian_Board_of_Directors_net2mode_2002-08-01,164,167,60,spectral_entropy,0.6472950626033546,
Economic,Norwegian_Board_of_Directors_net2mode_2002-08-01,164,167,40,spectral_entropy,0.8678955453149002,
Economic,Norwegian_Board_of_Directors_net2mode_2002-08-01,164,167,20,spectral_entropy,1.0147299509001635,
Economic,Norwegian_Board_of_Directors_net2mode_2002-08-01,164,167,100,adamic_adar_entropy,-0.0,0.4848484848484848
Economic,Norwegian_Board_of_Directors_net2mode_2002-08-01,164,167,100,seal_entropy,0.6796430158753198,0.8847566574839302
Economic,Norwegian_Board_of_Directors_net2mode_2002-09-01,369,375,100,spectral_entropy,0.5216987460653284,
Economic,Norwegian_Board_of_Directors_net2mode_2002-09-01,369,375,80,spectral_entropy,0.6280096308186196,
Economic,Norwegian_Board_of_Directors_net2mode_2002-09-01,369,375,60,spectral_entropy,0.654911838790932,
Economic,Norwegian_Board_of_Directors_net2mode_2002-09-01,369,375,40,spectral_entropy,0.7790645209805986,
Economic,Norwegian_Board_of_Directors_net2mode_2002-09-01,369,375,20,spectral_entropy,0.9045226130653268,
Economic,Norwegian_Board_of_Directors_net2mode_2002-09-01,369,375,100,adamic_adar_entropy,,0.5
Economic,Norwegian_Board_of_Directors_net2mode_2002-09-01,369,375,100,seal_entropy,0.7927811930863485,0.8110222222222222
Economic,Norwegian_Board_of_Directors_net2mode_2002-10-01,388,394,100,spectral_entropy,0.5574119812097438,
Economic,Norwegian_Board_of_Directors_net2mode_2002-10-01,388,394,80,spectral_entropy,0.6437229165358287,
Economic,Norwegian_Board_of_Directors_net2mode_2002-10-01,388,394,60,spectral_entropy,0.673892142295254,
Economic,Norwegian_Board_of_Directors_net2mode_2002-10-01,388,394,40,spectral_entropy,0.7967342342342343,
Economic,Norwegian_Board_of_Directors_net2mode_2002-10-01,388,394,20,spectral_entropy,0.9509906152241918,
Economic,Norwegian_Board_of_Directors_net2mode_2002-10-01,388,394,100,adamic_adar_entropy,-0.0,0.4807692307692308
Economic,Norwegian_Board_of_Directors_net2mode_2002-10-01,388,394,100,seal_entropy,0.8487454779539458,0.7947074293228138
Economic,Norwegian_Board_of_Directors_net2mode_2002-11-01,393,399,100,spectral_entropy,0.6340141322234053,
Economic,Norwegian_Board_of_Directors_net2mode_2002-11-01,393,399,80,spectral_entropy,0.7068879460943349,
Economic,Norwegian_Board_of_Directors_net2mode_2002-11-01,393,399,60,spectral_entropy,0.7427976397084345,
Economic,Norwegian_Board_of_Directors_net2mode_2002-11-01,393,399,40,spectral_entropy,0.8911162982287519,
Economic,Norwegian_Board_of_Directors_net2mode_2002-11-01,393,399,20,spectral_entropy,1.0872313527180784,
Economic,Norwegian_Board_of_Directors_net2mode_2002-11-01,393,399,100,adamic_adar_entropy,-0.0,0.5
Economic,Norwegian_Board_of_Directors_net2mode_2002-11-01,393,399,100,seal_entropy,0.8005338574928749,0.781765742669444
Economic,Norwegian_Board_of_Directors_net2mode_2002-12-01,407,412,100,spectral_entropy,0.6091277143908723,
Economic,Norwegian_Board_of_Directors_net2mode_2002-12-01,407,412,80,spectral_entropy,0.6841180391443981,
Economic,Norwegian_Board_of_Directors_net2mode_2002-12-01,407,412,60,spectral_entropy,0.7145831598234363,
Economic,Norwegian_Board_of_Directors_net2mode_2002-12-01,407,412,40,spectral_entropy,0.8756788207913111,
Economic,Norwegian_Board_of_Directors_net2mode_2002-12-01,407,412,20,spectral_entropy,1.0237537638006022,
Economic,Norwegian_Board_of_Directors_net2mode_2002-12-01,407,412,100,adamic_adar_entropy,,0.4939024390243902
Economic,Norwegian_Board_of_Directors_net2mode_2002-12-01,407,412,100,seal_entropy,0.8255905310244284,0.8091909577632361
Economic,Norwegian_Board_of_Directors_net2mode_2003-01-01,399,404,100,spectral_entropy,0.6030269962518385,
Economic,Norwegian_Board_of_Directors_net2mode_2003-01-01,399,404,80,spectral_entropy,0.6535187113370491,
Economic,Norwegian_Board_of_Directors_net2mode_2003-01-01,399,404,60,spectral_entropy,0.7148440892903675,
Economic,Norwegian_Board_of_Directors_net2mode_2003-01-01,399,404,40,spectral_entropy,0.8533370334397113,
Economic,Norwegian_Board_of_Directors_net2mode_2003-01-01,399,404,20,spectral_entropy,1.05,
Economic,Norwegian_Board_of_Directors_net2mode_2003-01-01,399,404,100,adamic_adar_entropy,,0.4875
Economic,Norwegian_Board_of_Directors_net2mode_2003-01-01,399,404,100,seal_entropy,0.7915638234177359,0.8741406249999999
Economic,Norwegian_Board_of_Directors_net2mode_2003-02-01,402,404,100,spectral_entropy,0.5348352896630064,
Economic,Norwegian_Board_of_Directors_net2mode_2003-02-01,402,404,80,spectral_entropy,0.590331101419006,
Economic,Norwegian_Board_of_Directors_net2mode_2003-02-01,402,404,60,spectral_entropy,0.6290447838467512,
Economic,Norwegian_Board_of_Directors_net2mode_2003-02-01,402,404,40,spectral_entropy,0.7788556164768734,
Economic,Norwegian_Board_of_Directors_net2mode_2003-02-01,402,404,20,spectral_entropy,0.9542092286016204,
Economic,Norwegian_Board_of_Directors_net2mode_2003-02-01,402,404,100,adamic_adar_entropy,-0.0,0.48125
Economic,Norwegian_Board_of_Directors_net2mode_2003-02-01,402,404,100,seal_entropy,0.8175851520662538,0.8809374999999999
Economic,Norwegian_Board_of_Directors_net2mode_2003-03-01,401,403,100,spectral_entropy,0.5334217632289544,
Economic,Norwegian_Board_of_Directors_net2mode_2003-03-01,401,403,80,spectral_entropy,0.5969412925505674,
Economic,Norwegian_Board_of_Directors_net2mode_2003-03-01,401,403,60,spectral_entropy,0.6275933609958506,
Economic,Norwegian_Board_of_Directors_net2mode_2003-03-01,401,403,40,spectral_entropy,0.7734189585369259,
Economic,Norwegian_Board_of_Directors_net2mode_2003-03-01,401,403,20,spectral_entropy,0.9601629696695336,
Economic,Norwegian_Board_of_Directors_net2mode_2003-03-01,401,403,100,adamic_adar_entropy,,0.49375
Economic,Norwegian_Board_of_Directors_net2mode_2003-03-01,401,403,100,seal_entropy,0.8084177521257055,0.904296875
Economic,Norwegian_Board_of_Directors_net2mode_2003-04-01,404,407,100,spectral_entropy,0.5356806627753719,
Economic,Norwegian_Board_of_Directors_net2mode_2003-04-01,404,407,80,spectral_entropy,0.6085846303501946,
Economic,Norwegian_Board_of_Directors_net2mode_2003-04-01,404,407,60,spectral_entropy,0.6347862886161659,
Economic,Norwegian_Board_of_Directors_net2mode_2003-04-01,404,407,40,spectral_entropy,0.7461279461279461,
Economic,Norwegian_Board_of_Directors_net2mode_2003-04-01,404,407,20,spectral_entropy,0.9475728155339804,
Economic,Norwegian_Board_of_Directors_net2mode_2003-04-01,404,407,100,adamic_adar_entropy,,0.4876543209876543
Economic,Norwegian_Board_of_Directors_net2mode_2003-04-01,404,407,100,seal_entropy,0.8686167686023655,0.7885230909922267
Economic,Norwegian_Board_of_Directors_net2mode_2003-05-01,402,405,100,spectral_entropy,0.5351754055073557,
Economic,Norwegian_Board_of_Directors_net2mode_2003-05-01,402,405,80,spectral_entropy,0.6114711997064938,
Economic,Norwegian_Board_of_Directors_net2mode_2003-05-01,402,405,60,spectral_entropy,0.6435938965135113,
Economic,Norwegian_Board_of_Directors_net2mode_2003-05-01,402,405,40,spectral_entropy,0.7775169175528241,
Economic,Norwegian_Board_of_Directors_net2mode_2003-05-01,402,405,20,spectral_entropy,0.9567336989640464,
Economic,Norwegian_Board_of_Directors_net2mode_2003-05-01,402,405,100,adamic_adar_entropy,,0.4876543209876543
Economic,Norwegian_Board_of_Directors_net2mode_2003-05-01,402,405,100,seal_entropy,0.7694683786081752,0.8135954884926078
Economic,Norwegian_Board_of_Directors_net2mode_2003-06-01,397,402,100,spectral_entropy,0.554919362534593,
Economic,Norwegian_Board_of_Directors_net2mode_2003-06-01,397,402,80,spectral_entropy,0.613569689782161,
Economic,Norwegian_Board_of_Directors_net2mode_2003-06-01,397,402,60,spectral_entropy,0.6635746389978004,
Economic,Norwegian_Board_of_Directors_net2mode_2003-06-01,397,402,40,spectral_entropy,0.8251748251748252,
Economic,Norwegian_Board_of_Directors_net2mode_2003-06-01,397,402,20,spectral_entropy,1.0239651416122004,
Economic,Norwegian_Board_of_Directors_net2mode_2003-06-01,397,402,100,adamic_adar_entropy,,0.49375
Economic,Norwegian_Board_of_Directors_net2mode_2003-06-01,397,402,100,seal_entropy,0.79297201482739,0.852890625
Economic,Norwegian_Board_of_Directors_net2mode_2003-07-01,425,434,100,spectral_entropy,0.553532726484612,
Economic,Norwegian_Board_of_Directors_net2mode_2003-07-01,425,434,80,spectral_entropy,0.6203798476060502,
Economic,Norwegian_Board_of_Directors_net2mode_2003-07-01,425,434,60,spectral_entropy,0.664141128576275,
Economic,Norwegian_Board_of_Directors_net2mode_2003-07-01,425,434,40,spectral_entropy,0.8133789433675409,
Economic,Norwegian_Board_of_Directors_net2mode_2003-07-01,425,434,20,spectral_entropy,0.9753279200499688,
Economic,Norwegian_Board_of_Directors_net2mode_2003-07-01,425,434,100,adamic_adar_entropy,,0.4941860465116279
Economic,Norwegian_Board_of_Directors_net2mode_2003-07-01,425,434,100,seal_entropy,0.8587967947204177,0.866887506760411
Economic,Norwegian_Board_of_Directors_net2mode_2003-08-01,447,456,100,spectral_entropy,0.5605105965141969,
Economic,Norwegian_Board_of_Directors_net2mode_2003-08-01,447,456,80,spectral_entropy,0.6081877612260208,
Economic,Norwegian_Board_of_Directors_net2mode_2003-08-01,447,456,60,spectral_entropy,0.6654191616766467,
Economic,Norwegian_Board_of_Directors_net2mode_2003-08-01,447,456,40,spectral_entropy,0.831140875388663,
Economic,Norwegian_Board_of_Directors_net2mode_2003-08-01,447,456,20,spectral_entropy,0.9738527214514408,
Economic,Norwegian_Board_of_Directors_net2mode_2003-08-01,447,456,100,adamic_adar_entropy,,0.5
Economic,Norwegian_Board_of_Directors_net2mode_2003-08-01,447,456,100,seal_entropy,0.8577076484539788,0.880086946021012
Economic,Norwegian_Board_of_Directors_net2mode_2003-09-01,465,481,100,spectral_entropy,0.575687185443283,
