domain,name,n_nodes,n_edges,level,measure,value,auc
Informational,Political_books_network_2004_Krebs_political_books,105,441,100,spectral_entropy,0.8023223666021565,
Informational,Political_books_network_2004_Krebs_political_books,105,441,80,spectral_entropy,0.7598290598290598,
Informational,Political_books_network_2004_Krebs_political_books,105,441,60,spectral_entropy,0.7839361848439004,
Informational,Political_books_network_2004_Krebs_political_books,105,441,40,spectral_entropy,0.8466933867735471,
Informational,Political_books_network_2004_Krebs_political_books,105,441,20,spectral_entropy,0.8743570903747245,
Informational,Political_books_network_2004_Krebs_political_books,105,441,100,adamic_adar_entropy,1.531955506158699,0.875
Informational,Political_books_network_2004_Krebs_political_books,105,441,100,seal_entropy,0.7343243236049605,0.9363378099173553
Informational,Word_adjacencies_of_David_Copperfield_Word_adjacencies,112,425,100,spectral_entropy,0.9222820710124217,
Informational,Word_adjacencies_of_David_Copperfield_Word_adjacencies,112,425,80,spectral_entropy,0.8852435833981476,
Informational,Word_adjacencies_of_David_Copperfield_Word_adjacencies,112,425,60,spectral_entropy,0.899098703011651,
Informational,Word_adjacencies_of_David_Copperfield_Word_adjacencies,112,425,40,spectral_entropy,0.9245152354570637,
Informational,Word_adjacencies_of_David_Copperfield_Word_adjacencies,112,425,20,spectral_entropy,0.7671957671957672,
Informational,Word_adjacencies_of_David_Copperfield_Word_adjacencies,112,425,100,adamic_adar_entropy,1.5180630039841465,0.628235294117647
Informational,Word_adjacencies_of_David_Copperfield_Word_adjacencies,112,425,100,seal_entropy,0.8945051814117937,0.7146712802768167
Informational,5886685ba411221d0e7c677e,2879,3886,100,spectral_entropy,0.09462939614239343,
Informational,5886685ba411221d0e7c677e,2879,3886,80,spectral_entropy,0.0695277613582494,
Informational,5886685ba411221d0e7c677e,2879,3886,60,spectral_entropy,0.06943922815627164,
Informational,5886685ba411221d0e7c677e,2879,3886,40,spectral_entropy,0.08518110814069298,
Informational,5886685ba411221d0e7c677e,2879,3886,20,spectral_entropy,0.12031198141387323,
Informational,5886685ba411221d0e7c677e,2879,3886,100,adamic_adar_entropy,102.12425456745964,0.6147153772636399
Informational,5886685ba411221d0e7c677e,2879,3886,100,seal_entropy,0.46602115075400435,0.9996057833895673
Informational,59a5da04549f067e0266d62a,63,80,100,spectral_entropy,0.8816705336426914,
Informational,59a5da04549f067e0266d62a,63,80,80,spectral_entropy,0.8727569331158238,
Informational,59a5da04549f067e0266d62a,63,80,60,spectral_entropy,0.8195754716981133,
Informational,59a5da04549f067e0266d62a,63,80,40,spectral_entropy,0.9264305177111717,
Informational,59a5da04549f067e0266d62a,63,80,20,spectral_entropy,1.0230179028132993,
Informational,59a5da04549f067e0266d62a,63,80,100,adamic_adar_entropy,1.970267065628647,0.505859375
Informational,59a5da04549f067e0266d62a,63,80,100,seal_entropy,1.1705361441844355,0.669921875
Informational,59a5da04549f067e0266d629,122,314,100,spectral_entropy,0.882414588136659,
Informational,59a5da04549f067e0266d629,122,314,80,spectral_entropy,0.8682360134515439,
Informational,59a5da04549f067e0266d629,122,314,60,spectral_entropy,0.8914728682170543,
Informational,59a5da04549f067e0266d629,122,314,40,spectral_entropy,0.9270548665125079,
Informational,59a5da04549f067e0266d629,122,314,20,spectral_entropy,0.9349890430971511,
Informational,59a5da04549f067e0266d629,122,314,100,adamic_adar_entropy,5.249408975669516,0.7947450572320499
Informational,59a5da04549f067e0266d629,122,314,100,seal_entropy,0.7563558232214196,0.8272632674297606
Informational,59a5da04549f067e0266d628,36,38,100,spectral_entropy,0.8988764044943821,
Informational,59a5da04549f067e0266d628,36,38,80,spectral_entropy,0.933852140077821,
Informational,59a5da04549f067e0266d628,36,38,60,spectral_entropy,0.9078771695594124,
Informational,59a5da04549f067e0266d628,36,38,40,spectral_entropy,1.0421836228287842,
Informational,59a5da04549f067e0266d628,36,38,20,spectral_entropy,1.043956043956044,
Informational,59a5da04549f067e0266d628,36,38,100,adamic_adar_entropy,-0.0,0.5
Informational,59a5da04549f067e0266d628,36,38,100,seal_entropy,0.6946795539074094,0.2857142857142857
Informational,59a5da04549f067e0266d626,69,84,100,spectral_entropy,0.9962756052141527,
Informational,59a5da04549f067e0266d626,69,84,80,spectral_entropy,1.0296953335904357,
Informational,59a5da04549f067e0266d626,69,84,60,spectral_entropy,1.0182207931404073,
Informational,59a5da04549f067e0266d626,69,84,40,spectral_entropy,1.045172719220549,
Informational,59a5da04549f067e0266d626,69,84,20,spectral_entropy,1.07981220657277,
Informational,59a5da04549f067e0266d626,69,84,100,adamic_adar_entropy,1.6115637458627057,0.5
Informational,59a5da04549f067e0266d626,69,84,100,seal_entropy,1.0481244141544412,0.544921875
Informational,59a5da04549f067e0266d625,1350,4055,100,spectral_entropy,0.8713449127559557,
Informational,59a5da04549f067e0266d625,1350,4055,80,spectral_entropy,0.8699770514813203,
Informational,59a5da04549f067e0266d625,1350,4055,60,spectral_entropy,0.877084943094343,
Informational,59a5da04549f067e0266d625,1350,4055,40,spectral_entropy,0.9007618032478525,
Informational,59a5da04549f067e0266d625,1350,4055,20,spectral_entropy,0.9001536098310292,
Informational,59a5da04549f067e0266d625,1350,4055,100,adamic_adar_entropy,15.658386108755208,0.7863949911892733
Informational,59a5da04549f067e0266d625,1350,4055,100,seal_entropy,0.7338328674951525,0.913001105331896
