domain,name,n_nodes,n_edges,level,measure,value,auc,H_raw,denom
Biological,56e98770a6d70217090cdd7d,74,75,100,adamic_adar_entropy,0.7243672219378039,0.5022222222222222,3.773557262275185,5.20945336562895
Biological,56e98770a6d70217090cdd7d,74,75,100,seal_entropy,0.6026682727790719,0.5666666666666667,3.1395722619867223,5.20945336562895
Biological,56e98770a6d70217090cdd7d,74,75,20,spectral_entropy,0.8674698795180723,,,
Biological,56e98770a6d70217090cdd7d,74,75,40,spectral_entropy,1.0940695296523515,,,
Biological,56e98770a6d70217090cdd7d,74,75,60,spectral_entropy,0.8819875776397516,,,
Biological,56e98770a6d70217090cdd7d,74,75,80,spectral_entropy,0.79800853485064,,,
Biological,56e98770a6d70217090cdd7d,74,75,100,spectral_entropy,0.7486818980667839,,,
Biological,56e98770a6d70217090cdd7e,187,218,100,adamic_adar_entropy,0.7506821559194196,0.5470524607896159,4.914636847725355,6.546894459887636
Biological,56e98770a6d70217090cdd7e,187,218,100,seal_entropy,0.696975117320594,0.7336398053001622,4.563022534265732,6.546894459887636
Biological,56e98770a6d70217090cdd7e,187,218,20,spectral_entropy,0.9532710280373832,,,
Biological,56e98770a6d70217090cdd7e,187,218,40,spectral_entropy,0.9658256148195464,,,
Biological,56e98770a6d70217090cdd7e,187,218,60,spectral_entropy,0.9409562702058872,,,
Biological,56e98770a6d70217090cdd7e,187,218,80,spectral_entropy,0.858085808580858,,,
Biological,56e98770a6d70217090cdd7e,187,218,100,spectral_entropy,0.8020412093202388,,,
Biological,56e98770a6d70217090cdd7f,84,86,100,adamic_adar_entropy,0.7143809278234565,0.4705882352941176,3.852168723603281,5.392317422778761
Biological,56e98770a6d70217090cdd7f,84,86,100,seal_entropy,0.6489283313239146,0.6920415224913494,3.499227547132693,5.392317422778761
Biological,56e98770a6d70217090cdd7f,84,86,20,spectral_entropy,0.949820788530466,,,
Biological,56e98770a6d70217090cdd7f,84,86,40,spectral_entropy,1.0740740740740742,,,
Biological,56e98770a6d70217090cdd7f,84,86,60,spectral_entropy,1.0333863275039743,,,
Biological,56e98770a6d70217090cdd7f,84,86,80,spectral_entropy,0.8966789667896679,,,
Biological,56e98770a6d70217090cdd7f,84,86,100,spectral_entropy,0.8254437869822485,,,
Biological,56e98770a6d70217090cdd80,332,412,100,adamic_adar_entropy,0.7662681104408859,0.5377751338488995,5.6512575294852345,7.375039431346925
Biological,56e98770a6d70217090cdd80,332,412,100,seal_entropy,0.6927432560157208,0.7794467578822128,5.1090088289155995,7.375039431346925
Biological,56e98770a6d70217090cdd80,332,412,20,spectral_entropy,0.9509287496534516,,,
Biological,56e98770a6d70217090cdd80,332,412,40,spectral_entropy,0.9221647533745426,,,
