quantity,value
n_networks,50.0
n_nodes_min,22.0
n_nodes_max,3353.0
speedup_median,1.872
speedup_q25,0.651
speedup_q75,3.253
speedup_aggregate,3.959
speedup_exponent,0.539
speedup_fit_r2,0.894
crossover_nodes,127.0
n_for_2x,459.0
mem_ratio_median,20.91
peak_mb_median_100,0.883
peak_mb_median_40,0.016
substitution_median,2.02
linkpred_share_at_100,0.867
speedup_median_n<100,0.481
k_n<100,15.0
speedup_median_n100-500,1.488
k_n100-500,16.0
speedup_median_n>=500,3.608
k_n>=500,19.0
substitution_median_n>=500,6.46
