family,size,instance,level,value,n_nodes,n_edges
ring,2500,0,100,0.9978213869603051,2500,18162
ring,2500,0,80,0.9603648396323758,2500,18162
ring,2500,0,60,0.9698628850657945,2500,18162
ring,2500,0,40,0.9839005644235714,2500,18162
ring,2500,0,20,0.9934117496363737,2500,18162
ring,2500,1,100,0.9991770422043801,2500,18006
ring,2500,1,80,0.9683209238670067,2500,18006
ring,2500,1,60,0.977763315287539,2500,18006
ring,2500,1,40,0.9864080873462321,2500,18006
ring,2500,1,20,0.9916609569010177,2500,18006
ring,2500,2,100,0.9979920645289947,2500,18310
ring,2500,2,80,0.960807404018289,2500,18310
ring,2500,2,60,0.9720705820460435,2500,18310
ring,2500,2,40,0.9774498064659853,2500,18310
ring,2500,2,20,0.986209127214894,2500,18310
ring,2500,3,100,0.9981222651412086,2500,17941
ring,2500,3,80,0.9604250503608608,2500,17941
ring,2500,3,60,0.9709148048516084,2500,17941
ring,2500,3,40,0.9841961507276836,2500,17941
ring,2500,3,20,0.9888680700980933,2500,17941
ring,2500,4,100,1.0010915916692409,2500,18047
ring,2500,4,80,0.9488410012579125,2500,18047
ring,2500,4,60,0.9681658931741871,2500,18047
ring,2500,4,40,0.9836498098434887,2500,18047
ring,2500,4,20,0.989427005345782,2500,18047
ring,2500,5,100,1.0012516254423847,2500,18113
ring,2500,5,80,0.9608148774749942,2500,18113
ring,2500,5,60,0.9715473664828721,2500,18113
ring,2500,5,40,0.9834631416674684,2500,18113
ring,2500,5,20,0.9906079100292486,2500,18113
ring,2500,6,100,1.0017177751392974,2500,18279
ring,2500,6,80,0.9729951216495164,2500,18279
ring,2500,6,60,0.9754330245976177,2500,18279
ring,2500,6,40,0.9865248895593146,2500,18279
ring,2500,6,20,0.9933348963392169,2500,18279
ring,2500,7,100,0.9997005317132728,2500,18045
ring,2500,7,80,0.9582208802802898,2500,18045
ring,2500,7,60,0.9700099715733037,2500,18045
ring,2500,7,40,0.9782317770237167,2500,18045
ring,2500,7,20,0.9803498421394271,2500,18045
ring,2500,8,100,1.0022637162921013,2500,18009
ring,2500,8,80,0.9615028983822276,2500,18009
ring,2500,8,60,0.9696487366525385,2500,18009
ring,2500,8,40,0.9808609747146932,2500,18009
ring,2500,8,20,0.9880610207000782,2500,18009
ring,2500,9,100,1.0005459900491391,2500,18063
ring,2500,9,80,0.9546032003039012,2500,18063
ring,2500,9,60,0.9700964574741601,2500,18063
ring,2500,9,40,0.9842337107316541,2500,18063
ring,2500,9,20,0.994137907129705,2500,18063
barabasi,2500,0,100,0.7684919995197996,2500,2499
barabasi,2500,0,80,0.7188417460246493,2500,2499
barabasi,2500,0,60,0.7317849515360604,2500,2499
barabasi,2500,0,40,0.8441334450303061,2500,2499
barabasi,2500,0,20,0.79087340889916,2500,2499
barabasi,2500,1,100,0.7618221706619497,2500,2499
barabasi,2500,1,80,0.6975472813238771,2500,2499
barabasi,2500,1,60,0.7200618875709128,2500,2499
barabasi,2500,1,40,0.8640653566781414,2500,2499
barabasi,2500,1,20,0.8069772609436339,2500,2499
barabasi,2500,2,100,0.7512675814259933,2500,2499
barabasi,2500,2,80,0.7178725300846828,2500,2499
barabasi,2500,2,60,0.7312222256751297,2500,2499
barabasi,2500,2,40,0.8580543313819641,2500,2499
barabasi,2500,2,20,0.8570151588513538,2500,2499
barabasi,2500,3,100,0.7498820035226265,2500,2499
barabasi,2500,3,80,0.6925006845817391,2500,2499
barabasi,2500,3,60,0.7162542965967857,2500,2499
barabasi,2500,3,40,0.8283120166811697,2500,2499
barabasi,2500,3,20,0.7833894500561167,2500,2499
barabasi,2500,4,100,0.7528886645018416,2500,2499
barabasi,2500,4,80,0.7077493080974913,2500,2499
barabasi,2500,4,60,0.7292958095710389,2500,2499
barabasi,2500,4,40,0.8505628968879014,2500,2499
barabasi,2500,4,20,0.8085845153664303,2500,2499
barabasi,2500,5,100,0.7499798778875232,2500,2499
barabasi,2500,5,80,0.716661604450799,2500,2499
barabasi,2500,5,60,0.7134788961543643,2500,2499
barabasi,2500,5,40,0.8476729414482042,2500,2499
barabasi,2500,5,20,0.8544646525002801,2500,2499
barabasi,2500,6,100,0.7586903962005179,2500,2499
barabasi,2500,6,80,0.7252306637451743,2500,2499
barabasi,2500,6,60,0.7442368532239615,2500,2499
barabasi,2500,6,40,0.8914408460013219,2500,2499
barabasi,2500,6,20,0.864892907433484,2500,2499
barabasi,2500,7,100,0.7593589618890141,2500,2499
barabasi,2500,7,80,0.7011839990563394,2500,2499
barabasi,2500,7,60,0.7186249507578113,2500,2499
barabasi,2500,7,40,0.8236125258765156,2500,2499
barabasi,2500,7,20,0.8525681792675172,2500,2499
barabasi,2500,8,100,0.7688379059238049,2500,2499
barabasi,2500,8,80,0.7222709500943999,2500,2499
barabasi,2500,8,60,0.73677464701383,2500,2499
barabasi,2500,8,40,0.857909730112467,2500,2499
barabasi,2500,8,20,0.8826141662349197,2500,2499
barabasi,2500,9,100,0.7586352798568268,2500,2499
barabasi,2500,9,80,0.7125312578607046,2500,2499
barabasi,2500,9,60,0.7266249637516052,2500,2499
barabasi,2500,9,40,0.8371870251701129,2500,2499
barabasi,2500,9,20,0.8326215322910091,2500,2499
regular,2500,0,100,1.006721212779187,2500,6250
regular,2500,0,80,0.9897809508428116,2500,6250
regular,2500,0,60,0.9879621055630744,2500,6250
regular,2500,0,40,0.9942798636486255,2500,6250
regular,2500,0,20,0.9335015982092687,2500,6250
regular,2500,1,100,1.0041907265575665,2500,6250
regular,2500,1,80,0.9868770587610243,2500,6250
regular,2500,1,60,0.9919241483298832,2500,6250
regular,2500,1,40,0.9920928362999261,2500,6250
regular,2500,1,20,0.9344763120696731,2500,6250
regular,2500,2,100,1.007978712904512,2500,6250
regular,2500,2,80,0.9902341326810938,2500,6250
regular,2500,2,60,0.9875496917963362,2500,6250
regular,2500,2,40,0.9935998385434663,2500,6250
regular,2500,2,20,0.9540959396220945,2500,6250
regular,2500,3,100,1.0091233919503202,2500,6250
regular,2500,3,80,0.9871765453454302,2500,6250
regular,2500,3,60,0.9864069791032664,2500,6250
regular,2500,3,40,0.9945245141998414,2500,6250
regular,2500,3,20,0.9159415131276989,2500,6250
regular,2500,4,100,1.0102709859512256,2500,6250
regular,2500,4,80,0.9839749853429745,2500,6250
regular,2500,4,60,0.9832673302650826,2500,6250
regular,2500,4,40,0.9954953151893785,2500,6250
regular,2500,4,20,0.9176549751871478,2500,6250
regular,2500,5,100,1.0054282899010902,2500,6250
regular,2500,5,80,0.9913176835075763,2500,6250
regular,2500,5,60,0.9873099986054944,2500,6250
regular,2500,5,40,0.9915980265914659,2500,6250
regular,2500,5,20,0.9324616751326849,2500,6250
regular,2500,6,100,1.0089865963637659,2500,6250
regular,2500,6,80,0.9924705465497387,2500,6250
