domain,stratum,level,mean,lo,hi,n
Biological,small (≤200),100,0.78,0.749,0.8099,111
Biological,small (≤200),80,0.7635,0.7299,0.7961,111
Biological,small (≤200),60,0.7524,0.713,0.788,111
Biological,small (≤200),40,0.8024,0.764,0.839,111
Biological,small (≤200),20,0.8379,0.8043,0.8691,111
Biological,medium (200–600),100,0.7963,0.7733,0.8206,42
Biological,medium (200–600),80,0.7989,0.7726,0.8251,42
Biological,medium (200–600),60,0.8052,0.7786,0.8333,42
Biological,medium (200–600),40,0.8394,0.8112,0.8681,42
Biological,medium (200–600),20,0.8588,0.8242,0.891,42
Biological,large (>600),100,0.7536,0.7338,0.7714,30
Biological,large (>600),80,0.7325,0.7123,0.751,30
Biological,large (>600),60,0.7401,0.7199,0.7611,30
Biological,large (>600),40,0.7876,0.7588,0.8189,30
Biological,large (>600),20,0.7754,0.7421,0.8097,30
Social,small (≤200),100,0.7305,0.6122,0.8416,16
Social,small (≤200),80,0.7359,0.6393,0.8278,16
Social,small (≤200),60,0.7395,0.6543,0.8204,16
Social,small (≤200),40,0.7801,0.7057,0.8521,16
Social,small (≤200),20,0.8765,0.8113,0.9466,16
Social,medium (200–600),100,0.3957,0.3852,0.4067,49
Social,medium (200–600),80,0.406,0.3948,0.4177,49
Social,medium (200–600),60,0.4435,0.4323,0.4554,49
Social,medium (200–600),40,0.5032,0.492,0.515,49
Social,medium (200–600),20,0.7524,0.7385,0.767,49
Social,large (>600),100,0.4825,0.4696,0.5009,59
Social,large (>600),80,0.4811,0.4683,0.4997,59
Social,large (>600),60,0.4973,0.4854,0.5154,59
Social,large (>600),40,0.5636,0.5532,0.5791,59
Social,large (>600),20,0.7707,0.7628,0.7784,59
Economic,small (≤200),100,0.7639,0.6634,0.8657,12
Economic,small (≤200),80,0.7242,0.5709,0.8385,12
Economic,small (≤200),60,0.7622,0.6787,0.8332,12
Economic,small (≤200),40,0.7849,0.6539,0.8681,12
Economic,small (≤200),20,0.8583,0.713,0.965,12
Economic,medium (200–600),100,0.5837,0.5682,0.6059,42
Economic,medium (200–600),80,0.6427,0.6306,0.6572,42
Economic,medium (200–600),60,0.6828,0.6725,0.6943,42
Economic,medium (200–600),40,0.8166,0.8021,0.8313,42
Economic,medium (200–600),20,0.9473,0.9281,0.9657,42
Economic,large (>600),100,0.6413,0.6321,0.6512,68
Economic,large (>600),80,0.7244,0.7151,0.733,68
Economic,large (>600),60,0.7647,0.7542,0.7745,68
Economic,large (>600),40,0.8864,0.8741,0.8983,68
Economic,large (>600),20,0.9392,0.9285,0.9492,68
Technological,small (≤200),100,0.8618,0.7907,0.9203,15
Technological,small (≤200),80,0.8469,0.7786,0.904,15
Technological,small (≤200),60,0.8492,0.7991,0.8927,15
Technological,small (≤200),40,0.8763,0.8434,0.9048,15
Technological,small (≤200),20,0.8867,0.8577,0.9167,15
Technological,medium (200–600),100,0.8128,0.7638,0.8571,41
Technological,medium (200–600),80,0.7893,0.7422,0.8328,41
Technological,medium (200–600),60,0.797,0.7525,0.8369,41
Technological,medium (200–600),40,0.8218,0.7835,0.8552,41
Technological,medium (200–600),20,0.83,0.804,0.8548,41
Technological,large (>600),100,0.8044,0.7511,0.8511,16
Technological,large (>600),80,0.7984,0.7374,0.8486,16
Technological,large (>600),60,0.7975,0.7453,0.8416,16
Technological,large (>600),40,0.8191,0.7817,0.8512,16
Technological,large (>600),20,0.8225,0.7916,0.8538,16
Transportation,small (≤200),100,1.0366,1.0208,1.0521,8
Transportation,small (≤200),80,1.0252,1.0147,1.0364,8
Transportation,small (≤200),60,1.0415,1.0204,1.0637,8
Transportation,small (≤200),40,1.0525,1.0368,1.0666,8
Transportation,small (≤200),20,1.0532,1.0211,1.0882,8
Transportation,medium (200–600),100,0.8742,0.8241,0.92,15
Transportation,medium (200–600),80,0.8609,0.8011,0.9101,15
Transportation,medium (200–600),60,0.8735,0.8171,0.9213,15
Transportation,medium (200–600),40,0.8781,0.823,0.926,15
Transportation,medium (200–600),20,0.9153,0.8545,0.9679,15
Transportation,large (>600),100,0.8233,0.7491,0.8765,15
Transportation,large (>600),80,0.8177,0.7486,0.8691,15
Transportation,large (>600),60,0.8177,0.7538,0.8675,15
Transportation,large (>600),40,0.8356,0.7819,0.8823,15
Transportation,large (>600),20,0.858,0.8292,0.8876,15
Informational,small (≤200),100,0.7959,0.6606,0.9035,9
Informational,small (≤200),80,0.7383,0.5417,0.8994,9
Informational,small (≤200),60,0.7404,0.5577,0.891,9
Informational,small (≤200),40,0.8117,0.6295,0.9673,9
Informational,small (≤200),20,0.8142,0.6394,0.961,9
Informational,medium (200–600),100,0.6845,0.5947,0.7408,6
Informational,medium (200–600),80,0.6358,0.498,0.7405,6
Informational,medium (200–600),60,0.6635,0.5739,0.7402,6
Informational,medium (200–600),40,0.6593,0.4572,0.8019,6
Informational,medium (200–600),20,0.7492,0.5656,0.8781,6
Informational,large (>600),100,0.693,0.2888,0.9312,4
Informational,large (>600),80,0.6716,0.2647,0.9112,4
Informational,large (>600),60,0.6659,0.2543,0.9052,4
Informational,large (>600),40,0.6879,0.2882,0.9203,4
Informational,large (>600),20,0.6886,0.3075,0.892,4
